source,policy,family,worlds,successes,jsr,wilson_95_low,wilson_95_high
C_rand,mask_signature:temporally_indexed_recurrence,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:temporally_indexed_recurrence,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:temporally_indexed_recurrence,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:temporally_indexed_recurrence,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:temporally_indexed_recurrence,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:temporally_indexed_recurrence,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:temporally_indexed_recurrence,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:temporally_indexed_recurrence,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:unobserved_dependency,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:unobserved_dependency,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:unobserved_dependency,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:unobserved_dependency,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:unobserved_dependency,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:unobserved_dependency,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:unobserved_dependency,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:unobserved_dependency,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:unobserved_dependency,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:unobserved_selector,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:unobserved_selector,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:unobserved_selector,hidden_regimes,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:unobserved_selector,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:unobserved_selector,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:unobserved_selector,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:unobserved_selector,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
